行列号:指标名称||地区代码||年份||月份||单位||单月or累计
C4:(第1类)活动物;动物产品出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C5:(第01章)活动物出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C6:(第02章)肉及食用杂碎出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C7:(第03章)鱼及其它水生无脊椎动物出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C8:(第04章)乳;蛋;蜂蜜;其它食用动物产品出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C9:(第05章)其它动物产品出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C10:(第2类)植物产品出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C11:(第06章)活植物;茎、根;插花、簇叶出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C12:(第07章)食用蔬菜、根及块茎出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C13:(第08章)食用水果及坚果;甜瓜等水果的果皮出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C14:(第09章)咖啡、茶、马黛茶及调味香料出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C15:(第10章)谷物出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C16:(第11章)制粉工业产品;麦芽;淀粉等;面筋出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C17:(第12章)油籽;子仁;工业或药用植物;饲料出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C18:(第13章)虫胶;树胶、树脂及其它植物液、汁出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C19:(第14章)编结用植物材料;其它植物产品出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C20:(第3类)动、植物油、脂、蜡;精制食用油脂出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C21:(第15章)动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C22:(第4类)食品;饮料、酒及醋;烟草及制品出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C23:(第16章)肉、鱼及其它水生无脊椎动物的制品出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C24:(第17章)糖及糖食出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C25:(第18章)可可及可可制品出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
C26:(第19章)谷物粉、淀粉等或乳的制品;糕饼出口对外贸易价格指数(HS)[S]||xj35||default||default||(上年同期=100)||D
