行列号:指标名称||地区代码||年份||月份||单位||单月or累计
C5:活猪(种猪除外)出口量[S]||xj35||default||default||万头||D
C6:活家禽出口量[S]||xj35||default||default||万只||D
C7:肉及杂碎出口量[S]||xj35||default||default||吨||D
C8:牛肉出口量[S]||xj35||default||default||吨||D
C9:猪肉出口量[S]||xj35||default||default||吨||D
C10:冻鸡出口量[S]||xj35||default||default||吨||D
C11:水海产品出口量[S]||xj35||default||default||万吨||D
C12:活鱼出口量[S]||xj35||default||default||吨||D
C13:冻鱼、冻鱼片出口量[S]||xj35||default||default||万吨||D
C14:鲜、冻对虾出口量[S]||xj35||default||default||吨||D
C15:冻虾仁出口量[S]||xj35||default||default||吨||D
C16:鲜蛋出口量[S]||xj35||default||default||百万个||D
C17:粮食出口量[S]||xj35||default||default||万吨||D
C18:谷物及谷物粉出口量[S]||xj35||default||default||万吨||D
C19:稻谷和大米出口量[S]||xj35||default||default||吨||D
C20:玉米出口量[S]||xj35||default||default||吨||D
C21:薯类及含有淀粉的块茎出口量[S]||xj35||default||default||万吨||D
C22:豆类出口量[S]||xj35||default||default||万吨||D
C23:蔬菜出口量[S]||xj35||default||default||万吨||D
C24:鲜或冷藏蔬菜出口量[S]||xj35||default||default||万吨||D
C25:干的食用菌类出口量[S]||xj35||default||default||吨||D
C26:鲜、干水果及坚果出口量[S]||xj35||default||default||万吨||D
C27:橘、橙出口量[S]||xj35||default||default||吨||D
C28:苹果出口量[S]||xj35||default||default||吨||D
C29:梨出口量[S]||xj35||default||default||吨||D
C30:松子仁出口量[S]||xj35||default||default||吨||D
C31:乳品出口量[S]||xj35||default||default||吨||D
C32:果蔬汁出口量[S]||xj35||default||default||万吨||D
C33:橙汁出口量[S]||xj35||default||default||吨||D
C34:苹果汁出口量[S]||xj35||default||default||万吨||D
C35:食用油籽出口量[S]||xj35||default||default||万吨||D
C36:大豆出口量[S]||xj35||default||default||万吨||D
C37:花生、花生仁出口量[S]||xj35||default||default||万吨||D
C38:食用植物油(包括棕榈油)出口量[S]||xj35||default||default||吨||D
C39:豆油出口量[S]||xj35||default||default||吨||D
C40:菜籽油和芥子油出口量[S]||xj35||default||default||吨||D
C41:花生油出口量[S]||xj35||default||default||吨||D
C42:烘焙花生出口量[S]||xj35||default||default||吨||D
C43:食糖出口量[S]||xj35||default||default||吨||D
C44:天然蜂蜜出口量[S]||xj35||default||default||吨||D
C45:茶叶出口量[S]||xj35||default||default||吨||D
C46:辣椒干出口量[S]||xj35||default||default||吨||D
C47:猪肉罐头出口量[S]||xj35||default||default||吨||D
C48:制作或保藏的鳗鱼出口量[S]||xj35||default||default||吨||D
C49:番茄酱出口量[S]||xj35||default||default||万吨||D
C50:蘑菇罐头出口量[S]||xj35||default||default||吨||D
C51:啤酒出口量[S]||xj35||default||default||万升||D
C52:肠衣出口量[S]||xj35||default||default||吨||D
C53:填充用羽毛;羽绒出口量[S]||xj35||default||default||吨||D
C54:中药材及中式成药出口量[S]||xj35||default||default||吨||D
C55:动物性药材出口量[S]||xj35||default||default||吨||D
C56:植物性药材出口量[S]||xj35||default||default||吨||D
C57:矿物性药材出口量[S]||xj35||default||default||吨||D
C58:烤烟出口量[S]||xj35||default||default||吨||D
C59:纸烟出口量[S]||xj35||default||default||万条||D
C60:肥料出口量[S]||xj35||default||default||万吨||D
C61:矿物肥料及化肥出口量[S]||xj35||default||default||万吨||D
C62:尿素出口量[S]||xj35||default||default||万吨||D
C63:氮、磷、钾复合肥出口量[S]||xj35||default||default||吨||D
C64:磷酸氢二铵出口量[S]||xj35||default||default||万吨||D
C65:氯化钾出口量[S]||xj35||default||default||吨||D
C66:硫酸钾出口量[S]||xj35||default||default||吨||D
C67:锯材出口量[S]||xj35||default||default||万立方米||D
C68:胶合板及类似多层板出口量[S]||xj35||default||default||万立方米||D
C69:印刷品出口量[S]||xj35||default||default||吨||D
C70:生丝出口量[S]||xj35||default||default||吨||D
C71:山羊绒出口量[S]||xj35||default||default||吨||D
C72:棉花出口量[S]||xj35||default||default||吨||D
C73:硫磺出口量[S]||xj35||default||default||吨||D
C74:粘土及其它耐火矿物出口量[S]||xj35||default||default||万吨||D
C75:天然石墨出口量[S]||xj35||default||default||万吨||D
C76:天然碳酸镁;氧化镁出口量[S]||xj35||default||default||万吨||D
C77:萤石(氟石)出口量[S]||xj35||default||default||万吨||D
C78:天然硫酸钡(重晶石)出口量[S]||xj35||default||default||万吨||D
C79:滑石出口量[S]||xj35||default||default||万吨||D
C80:钼矿砂及其精矿出口量[S]||xj35||default||default||吨||D
C81:煤及褐煤出口量[S]||xj35||default||default||万吨||D
C82:无烟煤出口量[S]||xj35||default||default||万吨||D
C83:炼焦煤出口量[S]||xj35||default||default||万吨||D
C84:其它烟煤出口量[S]||xj35||default||default||万吨||D
C85:褐煤出口量[S]||xj35||default||default||吨||D
C86:焦炭及半焦炭出口量[S]||xj35||default||default||万吨||D
C87:原油出口量[S]||xj35||default||default||万吨||D
C88:成品油出口量[S]||xj35||default||default||万吨||D
C89:汽油出口量[S]||xj35||default||default||万吨||D
C90:煤油出口量[S]||xj35||default||default||万吨||D
C91:柴油出口量[S]||xj35||default||default||万吨||D
C92:其它燃料油出口量[S]||xj35||default||default||万吨||D
C93:石脑油出口量[S]||xj35||default||default||万吨||D
C94:液化石油气及其它烃类气出口量[S]||xj35||default||default||万吨||D
C95:石蜡出口量[S]||xj35||default||default||万吨||D
C96:电流出口量[S]||xj35||default||default||百万千瓦时||D
C97:稀土及其制品出口量[S]||xj35||default||default||吨||D
C98:稀土出口量[S]||xj35||default||default||吨||D
C99:氧化铝出口量[S]||xj35||default||default||吨||D
C100:钨品出口量[S]||xj35||default||default||吨||D
C101:钨矿砂出口量[S]||xj35||default||default||吨||D
C102:仲钨酸铵出口量[S]||xj35||default||default||吨||D
C103:钨及其制品出口量[S]||xj35||default||default||吨||D
C104:氧化锌及过氧化锌出口量[S]||xj35||default||default||吨||D
C105:碳酸钠(纯碱)出口量[S]||xj35||default||default||万吨||D
C106:柠檬酸出口量[S]||xj35||default||default||万吨||D
C107:合成有机染料出口量[S]||xj35||default||default||吨||D
C108:锌钡白(立德粉)出口量[S]||xj35||default||default||吨||D
C109:医药品出口量[S]||xj35||default||default||吨||D
C110:维生素C出口量[S]||xj35||default||default||吨||D
C111:抗菌素(制剂除外)出口量[S]||xj35||default||default||吨||D
C112:中式成药出口量[S]||xj35||default||default||吨||D
C113:医用敷料出口量[S]||xj35||default||default||吨||D
C114:美容化妆品及护肤品出口量[S]||xj35||default||default||吨||D
C115:口腔及牙齿清洁剂出口量[S]||xj35||default||default||吨||D
C116:洗衣粉出口量[S]||xj35||default||default||吨||D
C117:烟花、爆竹出口量[S]||xj35||default||default||吨||D
C118:松香及树脂酸出口量[S]||xj35||default||default||吨||D
C119:杀虫剂、除草剂及类似品出口量[S]||xj35||default||default||万吨||D
C120:初级形状的聚氯乙烯出口量[S]||xj35||default||default||万吨||D
C121:新的充气橡胶轮胎出口量[S]||xj35||default||default||万条||D
C122:家用或装饰用木制品出口量[S]||xj35||default||default||万吨||D
C123:纸及纸板(未切成形的)出口量[S]||xj35||default||default||万吨||D
C124:新闻纸出口量[S]||xj35||default||default||吨||D
C125:牛皮纸出口量[S]||xj35||default||default||吨||D
C126:棉纱线出口量[S]||xj35||default||default||吨||D
C127:亚麻及苎麻机织物出口量[S]||xj35||default||default||万米||D
C128:合成短纤与棉混纺机织物出口量[S]||xj35||default||default||万米||D
C129:地毯出口量[S]||xj35||default||default||万平方米||D
C130:塑料编织袋(周转袋除外)出口量[S]||xj35||default||default||万条||D
C131:水泥及水泥熟料出口量[S]||xj35||default||default||万吨||D
C132:花岗岩石材及制品出口量[S]||xj35||default||default||万吨||D
C133:平板玻璃出口量[S]||xj35||default||default||万平方米||D
C134:玻璃制品出口量[S]||xj35||default||default||万吨||D
C135:玻璃器皿出口量[S]||xj35||default||default||万吨||D
C136:陶瓷产品出口量[S]||xj35||default||default||万吨||D
C137:家用陶瓷出口量[S]||xj35||default||default||万吨||D
C138:建筑用陶瓷出口量[S]||xj35||default||default||万吨||D
C139:装饰用陶瓷出口量[S]||xj35||default||default||万吨||D
C140:生铁及镜铁出口量[S]||xj35||default||default||万吨||D
C141:铁合金出口量[S]||xj35||default||default||万吨||D
C142:钢坯及粗锻件出口量[S]||xj35||default||default||万吨||D
C143:钢材出口量[S]||xj35||default||default||万吨||D
C144:钢铁棒材出口量[S]||xj35||default||default||万吨||D
C145:角钢及型钢出口量[S]||xj35||default||default||万吨||D
C146:钢铁板材出口量[S]||xj35||default||default||万吨||D
C147:钢铁线材出口量[S]||xj35||default||default||万吨||D
C148:钢铁管配件出口量[S]||xj35||default||default||万吨||D
C149:废钢出口量[S]||xj35||default||default||吨||D
C150:未锻轧铜及铜材出口量[S]||xj35||default||default||吨||D
C151:未锻轧铜(包括铜合金)出口量[S]||xj35||default||default||吨||D
C152:铜材出口量[S]||xj35||default||default||吨||D
C153:未锻轧铝及铝材出口量[S]||xj35||default||default||万吨||D
C154:未锻轧铝(包括铝合金)出口量[S]||xj35||default||default||吨||D
C155:铝材出口量[S]||xj35||default||default||万吨||D
C156:未锻轧锌及锌合金出口量[S]||xj35||default||default||吨||D
C157:未锻轧锡及锡合金出口量[S]||xj35||default||default||吨||D
C158:未锻轧锑、粉末及废碎料出口量[S]||xj35||default||default||吨||D
C159:镁及其制品(包括废碎料)出口量[S]||xj35||default||default||吨||D
C160:未锻轧锰出口量[S]||xj35||default||default||吨||D
C161:钢铁或铜制标准紧固件出口量[S]||xj35||default||default||万吨||D
C162:不锈钢厨具、餐具等家用器具出口量[S]||xj35||default||default||吨||D
C163:餐桌、厨房及其它家用搪瓷器出口量[S]||xj35||default||default||吨||D
C164:手用或机用工具出口量[S]||xj35||default||default||万吨||D
C165:电扇出口量[S]||xj35||default||default||万台||D
C166:空气调节器出口量[S]||xj35||default||default||万台||D
C167:冰箱出口量[S]||xj35||default||default||万台||D
C168:洗衣机出口量[S]||xj35||default||default||万台||D
C169:微波炉出口量[S]||xj35||default||default||万个||D
C170:家用型缝纫机出口量[S]||xj35||default||default||万台||D
C171:工业用缝纫机出口量[S]||xj35||default||default||万台||D
C172:金属加工机床出口量[S]||xj35||default||default||万台||D
C173:车床出口量[S]||xj35||default||default||台||D
C174:铣床出口量[S]||xj35||default||default||台||D
C175:电子计算器(包括具有计算功能的袖珍数据记录重现机)出口量[S]||xj35||default||default||万台||D
C176:自动数据处理设备及其部件出口量[S]||xj35||default||default||万台||D
C177:自动数据处理设备出口量[S]||xj35||default||default||万台||D
C178:微型电脑出口量[S]||xj35||default||default||万台||D
C179:中央处理部件出口量[S]||xj35||default||default||万台||D
C180:显示器出口量[S]||xj35||default||default||万台||D
C181:液晶显示器出口量[S]||xj35||default||default||万台||D
C182:存储部件出口量[S]||xj35||default||default||万台||D
C183:键盘、鼠标器出口量[S]||xj35||default||default||万个||D
C184:打印机(包括多功能一体机)出口量[S]||xj35||default||default||万台||D
C185:液晶显示板出口量[S]||xj35||default||default||万个||D
C186:轴承出口量[S]||xj35||default||default||万套||D
C187:电动机及发电机出口量[S]||xj35||default||default||万台||D
C188:风力发电机组出口量[S]||xj35||default||default||台||D
C189:变压器出口量[S]||xj35||default||default||万个||D
C190:静止式变流器出口量[S]||xj35||default||default||万个||D
C191:原电池出口量[S]||xj35||default||default||百万个||D
C192:蓄电池出口量[S]||xj35||default||default||万个||D
C193:铅酸蓄电池出口量[S]||xj35||default||default||万个||D
C194:太阳能电池出口量[S]||xj35||default||default||万个||D
C195:电话机出口量[S]||xj35||default||default||万台||D
C196:手持或车载无线电话机出口量[S]||xj35||default||default||万台||D
C197:扬声器出口量[S]||xj35||default||default||万个||D
C198:激光唱机出口量[S]||xj35||default||default||万台||D
C199:录、放像机出口量[S]||xj35||default||default||万台||D
C200:DVD播放机出口量[S]||xj35||default||default||万台||D
C201:声音录制或重放设备出口量[S]||xj35||default||default||万台||D
C202:收音设备(包括收录音组合机及整套散件)出口量[S]||xj35||default||default||万台||D
C203:彩色电视机出口量[S]||xj35||default||default||万台||D
C204:电容器出口量[S]||xj35||default||default||吨||D
C205:印刷电路出口量[S]||xj35||default||default||百万块||D
C206:通断保护电路装置及零件出口量[S]||xj35||default||default||吨||D
C207:二极管及类似半导体器件出口量[S]||xj35||default||default||百万个||D
C208:集成电路出口量[S]||xj35||default||default||百万个||D
C209:处理器及控制器出口量[S]||xj35||default||default||百万个||D
C210:存储器出口量[S]||xj35||default||default||百万个||D
C211:放大器出口量[S]||xj35||default||default||百万个||D
C212:电线和电缆出口量[S]||xj35||default||default||万吨||D
C213:集装箱出口量[S]||xj35||default||default||万个||D
C214:汽车及汽车底盘出口量[S]||xj35||default||default||万辆||D
C215:汽车出口量[S]||xj35||default||default||万辆||D
C216:小轿车出口量[S]||xj35||default||default||辆||D
C217:四轮驱动轻型越野车出口量[S]||xj35||default||default||辆||D
C218:小客车(九座及以下的)出口量[S]||xj35||default||default||辆||D
C219:货车出口量[S]||xj35||default||default||辆||D
C220:装有引擎的汽车底盘出口量[S]||xj35||default||default||台||D
C221:摩托车出口量[S]||xj35||default||default||万辆||D
C222:自行车出口量[S]||xj35||default||default||万辆||D
C223:船舶出口量[S]||xj35||default||default||万艘||D
C224:液货船(包括成品油船、原油船和液化石油及天然气船)出口量[S]||xj35||default||default||艘||D
C225:冷藏船出口量[S]||xj35||default||default||艘||D
C226:集装箱船出口量[S]||xj35||default||default||艘||D
C227:滚装船出口量[S]||xj35||default||default||艘||D
C228:散货船出口量[S]||xj35||default||default||艘||D
C229:照相机出口量[S]||xj35||default||default||万架||D
C230:数字式相机出口量[S]||xj35||default||default||万台||D
C231:手表出口量[S]||xj35||default||default||万只||D
C232:机械手表出口量[S]||xj35||default||default||万只||D
C233:电动手表出口量[S]||xj35||default||default||万只||D
C234:日用钟出口量[S]||xj35||default||default||万只||D
C235:皮革服装出口量[S]||xj35||default||default||万件||D
C236:裘皮服装(按重量计)出口量[S]||xj35||default||default||吨||D
C237:裘皮服装(按数量计)出口量[S]||xj35||default||default||万件||D
C238:皮革手套出口量[S]||xj35||default||default||万双||D
C239:织物制手套出口量[S]||xj35||default||default||万双||D
C240:织物制袜子出口量[S]||xj35||default||default||百万双||D
C241:帽类出口量[S]||xj35||default||default||万个||D
