行列号:指标名称||地区代码||年份||月份||单位||单月or累计
C242:鞋类出口量[S]||xj35||default||default||万吨||D
C243:鞋出口量[S]||xj35||default||default||万双||D
C244:外底及鞋面均以橡胶或塑料制的鞋出口量[S]||xj35||default||default||万双||D
C245:皮面鞋出口量[S]||xj35||default||default||万双||D
C246:橡胶或塑料底纺织材料为面的鞋出口量[S]||xj35||default||default||万双||D
C247:鞋靴零件;护腿及类似品出口量[S]||xj35||default||default||吨||D
C248:游戏机及零件出口量[S]||xj35||default||default||吨||D
C249:圣诞用品出口量[S]||xj35||default||default||吨||D
C250:足球、篮球、排球出口量[S]||xj35||default||default||万个||D
C251:打火机出口量[S]||xj35||default||default||百万个||D
C252:贵金属或包贵金属的首饰出口量[S]||xj35||default||default||千克||D
C253:伞出口量[S]||xj35||default||default||万把||D
C254:竹编结品出口量[S]||xj35||default||default||吨||D
C255:藤编结品出口量[S]||xj35||default||default||吨||D
C256:草编结品出口量[S]||xj35||default||default||吨||D
C257:柳编结品出口量[S]||xj35||default||default||吨||D
C258:金属制品出口量[S]||xj35||default||default||万吨||D
C259:材料技术出口量[S]||xj35||default||default||吨||D
C260:电视机出口量[S]||xj35||default||default||万台||D
C261:黑白电视机出口量[S]||xj35||default||default||万台||D
C262:阴极射线管显示器出口量[S]||xj35||default||default||万台||D
C263:便携式电脑出口量[S]||xj35||default||default||万台||D
D5:活猪(种猪除外)出口额[S]||xj35||default||default||千美元||D
D6:活家禽出口额[S]||xj35||default||default||千美元||D
D7:肉及杂碎出口额[S]||xj35||default||default||千美元||D
D8:牛肉出口额[S]||xj35||default||default||千美元||D
D9:猪肉出口额[S]||xj35||default||default||千美元||D
D10:冻鸡出口额[S]||xj35||default||default||千美元||D
D11:水海产品出口额[S]||xj35||default||default||千美元||D
D12:活鱼出口额[S]||xj35||default||default||千美元||D
D13:冻鱼、冻鱼片出口额[S]||xj35||default||default||千美元||D
D14:鲜、冻对虾出口额[S]||xj35||default||default||千美元||D
D15:冻虾仁出口额[S]||xj35||default||default||千美元||D
D16:鲜蛋出口额[S]||xj35||default||default||千美元||D
D17:粮食出口额[S]||xj35||default||default||千美元||D
D18:谷物及谷物粉出口额[S]||xj35||default||default||千美元||D
D19:稻谷和大米出口额[S]||xj35||default||default||千美元||D
D20:玉米出口额[S]||xj35||default||default||千美元||D
D21:薯类及含有淀粉的块茎出口额[S]||xj35||default||default||千美元||D
D22:豆类出口额[S]||xj35||default||default||千美元||D
D23:蔬菜出口额[S]||xj35||default||default||千美元||D
D24:鲜或冷藏蔬菜出口额[S]||xj35||default||default||千美元||D
D25:干的食用菌类出口额[S]||xj35||default||default||千美元||D
D26:鲜、干水果及坚果出口额[S]||xj35||default||default||千美元||D
D27:橘、橙出口额[S]||xj35||default||default||千美元||D
D28:苹果出口额[S]||xj35||default||default||千美元||D
D29:梨出口额[S]||xj35||default||default||千美元||D
D30:松子仁出口额[S]||xj35||default||default||千美元||D
D31:乳品出口额[S]||xj35||default||default||千美元||D
D32:果蔬汁出口额[S]||xj35||default||default||千美元||D
D33:橙汁出口额[S]||xj35||default||default||千美元||D
D34:苹果汁出口额[S]||xj35||default||default||千美元||D
D35:食用油籽出口额[S]||xj35||default||default||千美元||D
D36:大豆出口额[S]||xj35||default||default||千美元||D
D37:花生、花生仁出口额[S]||xj35||default||default||千美元||D
D38:食用植物油(包括棕榈油)出口额[S]||xj35||default||default||千美元||D
D39:豆油出口额[S]||xj35||default||default||千美元||D
D40:菜籽油和芥子油出口额[S]||xj35||default||default||千美元||D
D41:花生油出口额[S]||xj35||default||default||千美元||D
D42:烘焙花生出口额[S]||xj35||default||default||千美元||D
D43:食糖出口额[S]||xj35||default||default||千美元||D
D44:天然蜂蜜出口额[S]||xj35||default||default||千美元||D
D45:茶叶出口额[S]||xj35||default||default||千美元||D
D46:辣椒干出口额[S]||xj35||default||default||千美元||D
D47:猪肉罐头出口额[S]||xj35||default||default||千美元||D
D48:制作或保藏的鳗鱼出口额[S]||xj35||default||default||千美元||D
D49:番茄酱出口额[S]||xj35||default||default||千美元||D
D50:蘑菇罐头出口额[S]||xj35||default||default||千美元||D
D51:啤酒出口额[S]||xj35||default||default||千美元||D
D52:肠衣出口额[S]||xj35||default||default||千美元||D
D53:填充用羽毛;羽绒出口额[S]||xj35||default||default||千美元||D
D54:中药材及中式成药出口额[S]||xj35||default||default||千美元||D
D55:动物性药材出口额[S]||xj35||default||default||千美元||D
D56:植物性药材出口额[S]||xj35||default||default||千美元||D
D57:矿物性药材出口额[S]||xj35||default||default||千美元||D
D58:烤烟出口额[S]||xj35||default||default||千美元||D
D59:纸烟出口额[S]||xj35||default||default||千美元||D
D60:肥料出口额[S]||xj35||default||default||千美元||D
D61:矿物肥料及化肥出口额[S]||xj35||default||default||千美元||D
D62:尿素出口额[S]||xj35||default||default||千美元||D
D63:氮、磷、钾复合肥出口额[S]||xj35||default||default||千美元||D
D64:磷酸氢二铵出口额[S]||xj35||default||default||千美元||D
D65:氯化钾出口额[S]||xj35||default||default||千美元||D
D66:硫酸钾出口额[S]||xj35||default||default||千美元||D
D67:锯材出口额[S]||xj35||default||default||千美元||D
D68:胶合板及类似多层板出口额[S]||xj35||default||default||千美元||D
D69:印刷品出口额[S]||xj35||default||default||千美元||D
D70:生丝出口额[S]||xj35||default||default||千美元||D
D71:山羊绒出口额[S]||xj35||default||default||千美元||D
D72:棉花出口额[S]||xj35||default||default||千美元||D
D73:硫磺出口额[S]||xj35||default||default||千美元||D
D74:粘土及其它耐火矿物出口额[S]||xj35||default||default||千美元||D
D75:天然石墨出口额[S]||xj35||default||default||千美元||D
D76:天然碳酸镁;氧化镁出口额[S]||xj35||default||default||千美元||D
D77:萤石(氟石)出口额[S]||xj35||default||default||千美元||D
D78:天然硫酸钡(重晶石)出口额[S]||xj35||default||default||千美元||D
D79:滑石出口额[S]||xj35||default||default||千美元||D
D80:钼矿砂及其精矿出口额[S]||xj35||default||default||千美元||D
D81:煤及褐煤出口额[S]||xj35||default||default||千美元||D
D82:无烟煤出口额[S]||xj35||default||default||千美元||D
D83:炼焦煤出口额[S]||xj35||default||default||千美元||D
D84:其它烟煤出口额[S]||xj35||default||default||千美元||D
D85:褐煤出口额[S]||xj35||default||default||千美元||D
D86:焦炭及半焦炭出口额[S]||xj35||default||default||千美元||D
D87:原油出口额[S]||xj35||default||default||千美元||D
D88:成品油出口额[S]||xj35||default||default||千美元||D
D89:汽油出口额[S]||xj35||default||default||千美元||D
D90:煤油出口额[S]||xj35||default||default||千美元||D
D91:柴油出口额[S]||xj35||default||default||千美元||D
D92:其它燃料油出口额[S]||xj35||default||default||千美元||D
D93:石脑油出口额[S]||xj35||default||default||千美元||D
D94:液化石油气及其它烃类气出口额[S]||xj35||default||default||千美元||D
D95:石蜡出口额[S]||xj35||default||default||千美元||D
D96:电流出口额[S]||xj35||default||default||千美元||D
D97:稀土及其制品出口额[S]||xj35||default||default||千美元||D
D98:稀土出口额[S]||xj35||default||default||千美元||D
D99:氧化铝出口额[S]||xj35||default||default||千美元||D
D100:钨品出口额[S]||xj35||default||default||千美元||D
D101:钨矿砂出口额[S]||xj35||default||default||千美元||D
D102:仲钨酸铵出口额[S]||xj35||default||default||千美元||D
D103:钨及其制品出口额[S]||xj35||default||default||千美元||D
D104:氧化锌及过氧化锌出口额[S]||xj35||default||default||千美元||D
D105:碳酸钠(纯碱)出口额[S]||xj35||default||default||千美元||D
D106:柠檬酸出口额[S]||xj35||default||default||千美元||D
D107:合成有机染料出口额[S]||xj35||default||default||千美元||D
D108:锌钡白(立德粉)出口额[S]||xj35||default||default||千美元||D
D109:医药品出口额[S]||xj35||default||default||千美元||D
D110:维生素C出口额[S]||xj35||default||default||千美元||D
D111:抗菌素(制剂除外)出口额[S]||xj35||default||default||千美元||D
D112:中式成药出口额[S]||xj35||default||default||千美元||D
D113:医用敷料出口额[S]||xj35||default||default||千美元||D
D114:美容化妆品及护肤品出口额[S]||xj35||default||default||千美元||D
D115:口腔及牙齿清洁剂出口额[S]||xj35||default||default||千美元||D
D116:洗衣粉出口额[S]||xj35||default||default||千美元||D
D117:烟花、爆竹出口额[S]||xj35||default||default||千美元||D
D118:松香及树脂酸出口额[S]||xj35||default||default||千美元||D
D119:杀虫剂、除草剂及类似品出口额[S]||xj35||default||default||千美元||D
D120:初级形状的聚氯乙烯出口额[S]||xj35||default||default||千美元||D
D121:新的充气橡胶轮胎出口额[S]||xj35||default||default||千美元||D
D122:家用或装饰用木制品出口额[S]||xj35||default||default||千美元||D
D123:纸及纸板(未切成形的)出口额[S]||xj35||default||default||千美元||D
D124:新闻纸出口额[S]||xj35||default||default||千美元||D
D125:牛皮纸出口额[S]||xj35||default||default||千美元||D
D126:棉纱线出口额[S]||xj35||default||default||千美元||D
D127:亚麻及苎麻机织物出口额[S]||xj35||default||default||千美元||D
D128:合成短纤与棉混纺机织物出口额[S]||xj35||default||default||千美元||D
D129:地毯出口额[S]||xj35||default||default||千美元||D
D130:塑料编织袋(周转袋除外)出口额[S]||xj35||default||default||千美元||D
D131:水泥及水泥熟料出口额[S]||xj35||default||default||千美元||D
D132:花岗岩石材及制品出口额[S]||xj35||default||default||千美元||D
D133:平板玻璃出口额[S]||xj35||default||default||千美元||D
D134:玻璃制品出口额[S]||xj35||default||default||千美元||D
D135:玻璃器皿出口额[S]||xj35||default||default||千美元||D
D136:陶瓷产品出口额[S]||xj35||default||default||千美元||D
D137:家用陶瓷出口额[S]||xj35||default||default||千美元||D
D138:建筑用陶瓷出口额[S]||xj35||default||default||千美元||D
D139:装饰用陶瓷出口额[S]||xj35||default||default||千美元||D
D140:生铁及镜铁出口额[S]||xj35||default||default||千美元||D
D141:铁合金出口额[S]||xj35||default||default||千美元||D
D142:钢坯及粗锻件出口额[S]||xj35||default||default||千美元||D
D143:钢材出口额[S]||xj35||default||default||千美元||D
D144:钢铁棒材出口额[S]||xj35||default||default||千美元||D
D145:角钢及型钢出口额[S]||xj35||default||default||千美元||D
D146:钢铁板材出口额[S]||xj35||default||default||千美元||D
D147:钢铁线材出口额[S]||xj35||default||default||千美元||D
D148:钢铁管配件出口额[S]||xj35||default||default||千美元||D
D149:废钢出口额[S]||xj35||default||default||千美元||D
D150:未锻轧铜及铜材出口额[S]||xj35||default||default||千美元||D
D151:未锻轧铜(包括铜合金)出口额[S]||xj35||default||default||千美元||D
D152:铜材出口额[S]||xj35||default||default||千美元||D
D153:未锻轧铝及铝材出口额[S]||xj35||default||default||千美元||D
D154:未锻轧铝(包括铝合金)出口额[S]||xj35||default||default||千美元||D
D155:铝材出口额[S]||xj35||default||default||千美元||D
D156:未锻轧锌及锌合金出口额[S]||xj35||default||default||千美元||D
D157:未锻轧锡及锡合金出口额[S]||xj35||default||default||千美元||D
D158:未锻轧锑、粉末及废碎料出口额[S]||xj35||default||default||千美元||D
D159:镁及其制品(包括废碎料)出口额[S]||xj35||default||default||千美元||D
D160:未锻轧锰出口额[S]||xj35||default||default||千美元||D
D161:钢铁或铜制标准紧固件出口额[S]||xj35||default||default||千美元||D
D162:不锈钢厨具、餐具等家用器具出口额[S]||xj35||default||default||千美元||D
D163:餐桌、厨房及其它家用搪瓷器出口额[S]||xj35||default||default||千美元||D
D164:手用或机用工具出口额[S]||xj35||default||default||千美元||D
D165:电扇出口额[S]||xj35||default||default||千美元||D
D166:空气调节器出口额[S]||xj35||default||default||千美元||D
D167:冰箱出口额[S]||xj35||default||default||千美元||D
D168:洗衣机出口额[S]||xj35||default||default||千美元||D
D169:微波炉出口额[S]||xj35||default||default||千美元||D
D170:家用型缝纫机出口额[S]||xj35||default||default||千美元||D
D171:工业用缝纫机出口额[S]||xj35||default||default||千美元||D
D172:金属加工机床出口额[S]||xj35||default||default||千美元||D
D173:车床出口额[S]||xj35||default||default||千美元||D
D174:铣床出口额[S]||xj35||default||default||千美元||D
D175:电子计算器(包括具有计算功能的袖珍数据记录重现机)出口额[S]||xj35||default||default||千美元||D
D176:自动数据处理设备及其部件出口额[S]||xj35||default||default||千美元||D
D177:自动数据处理设备出口额[S]||xj35||default||default||千美元||D
D178:微型电脑出口额[S]||xj35||default||default||千美元||D
D179:中央处理部件出口额[S]||xj35||default||default||千美元||D
D180:显示器出口额[S]||xj35||default||default||千美元||D
D181:液晶显示器出口额[S]||xj35||default||default||千美元||D
D182:存储部件出口额[S]||xj35||default||default||千美元||D
D183:键盘、鼠标器出口额[S]||xj35||default||default||千美元||D
D184:打印机(包括多功能一体机)出口额[S]||xj35||default||default||千美元||D
D185:液晶显示板出口额[S]||xj35||default||default||千美元||D
D186:轴承出口额[S]||xj35||default||default||千美元||D
D187:电动机及发电机出口额[S]||xj35||default||default||千美元||D
D188:风力发电机组出口额[S]||xj35||default||default||千美元||D
D189:变压器出口额[S]||xj35||default||default||千美元||D
D190:静止式变流器出口额[S]||xj35||default||default||千美元||D
D191:原电池出口额[S]||xj35||default||default||千美元||D
D192:蓄电池出口额[S]||xj35||default||default||千美元||D
D193:铅酸蓄电池出口额[S]||xj35||default||default||千美元||D
D194:太阳能电池出口额[S]||xj35||default||default||千美元||D
D195:电话机出口额[S]||xj35||default||default||千美元||D
D196:手持或车载无线电话机出口额[S]||xj35||default||default||千美元||D
D197:扬声器出口额[S]||xj35||default||default||千美元||D
D198:激光唱机出口额[S]||xj35||default||default||千美元||D
D199:录、放像机出口额[S]||xj35||default||default||千美元||D
