行列号:指标名称||地区代码||年份||月份||单位||单月or累计
B5:商品进出口总额(境内目的地/货源地总额)[S]||xj01||default||default||千美元||D
B6:中关村国家自主创新示范区商品进出口总额(境内目的地/货源地总额)[S]||xj01||default||default||千美元||D
B7:北京经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj01||default||default||千美元||D
B8:商品进出口总额(境内目的地/货源地总额)[S]||xj02||default||default||千美元||D
B9:天津经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj02||default||default||千美元||D
B10:商品进出口总额(境内目的地/货源地总额)[S]||xj0219||default||default||千美元||D
B11:商品进出口总额(境内目的地/货源地总额)[S]||xj03||default||default||千美元||D
B12:商品进出口总额(境内目的地/货源地总额)[S]||xj0301||default||default||千美元||D
B13:石家庄高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0301||default||default||千美元||D
B14:商品进出口总额(境内目的地/货源地总额)[S]||xj0303||default||default||千美元||D
B15:秦皇岛经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0303||default||default||千美元||D
B16:商品进出口总额(境内目的地/货源地总额)[S]||xj0306||default||default||千美元||D
B17:保定高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0306||default||default||千美元||D
B18:商品进出口总额(境内目的地/货源地总额)[S]||xj04||default||default||千美元||D
B19:商品进出口总额(境内目的地/货源地总额)[S]||xj0401||default||default||千美元||D
B20:太原经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0401||default||default||千美元||D
B21:太原高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0401||default||default||千美元||D
B22:商品进出口总额(境内目的地/货源地总额)[S]||xj0402||default||default||千美元||D
B23:大同经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0402||default||default||千美元||D
B24:商品进出口总额(境内目的地/货源地总额)[S]||xj0407||default||default||千美元||D
B25:商品进出口总额(境内目的地/货源地总额)[S]||xj05||default||default||千美元||D
B26:商品进出口总额(境内目的地/货源地总额)[S]||xj0501||default||default||千美元||D
B27:商品进出口总额(境内目的地/货源地总额)[S]||xj0502||default||default||千美元||D
B28:包头高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0502||default||default||千美元||D
B29:商品进出口总额(境内目的地/货源地总额)[S]||xj050709||default||default||千美元||D
B30:商品进出口总额(境内目的地/货源地总额)[S]||xj051101||default||default||千美元||D
B31:商品进出口总额(境内目的地/货源地总额)[S]||xj06||default||default||千美元||D
B32:商品进出口总额(境内目的地/货源地总额)[S]||xj0601||default||default||千美元||D
B33:沈阳经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0601||default||default||千美元||D
B34:沈阳高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0601||default||default||千美元||D
B35:商品进出口总额(境内目的地/货源地总额)[S]||xj0602||default||default||千美元||D
B36:大连经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0602||default||default||千美元||D
B37:大连市高新技术产业园区商品进出口总额(境内目的地/货源地总额)[S]||xj0602||default||default||千美元||D
B38:商品进出口总额(境内目的地/货源地总额)[S]||xj0603||default||default||千美元||D
B39:鞍山高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0603||default||default||千美元||D
B40:商品进出口总额(境内目的地/货源地总额)[S]||xj0606||default||default||千美元||D
B41:商品进出口总额(境内目的地/货源地总额)[S]||xj07||default||default||千美元||D
B42:吉林高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj07||default||default||千美元||D
B43:商品进出口总额(境内目的地/货源地总额)[S]||xj0701||default||default||千美元||D
B44:长春经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0701||default||default||千美元||D
B45:长春高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0701||default||default||千美元||D
B46:商品进出口总额(境内目的地/货源地总额)[S]||xj0702||default||default||千美元||D
B47:商品进出口总额(境内目的地/货源地总额)[S]||xj070904||default||default||千美元||D
B48:商品进出口总额(境内目的地/货源地总额)[S]||xj08||default||default||千美元||D
B49:商品进出口总额(境内目的地/货源地总额)[S]||xj0801||default||default||千美元||D
B50:哈尔滨经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0801||default||default||千美元||D
B51:哈尔滨高技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0801||default||default||千美元||D
B52:商品进出口总额(境内目的地/货源地总额)[S]||xj0806||default||default||千美元||D
B53:大庆高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj0806||default||default||千美元||D
B54:商品进出口总额(境内目的地/货源地总额)[S]||xj081007||default||default||千美元||D
B55:商品进出口总额(境内目的地/货源地总额)[S]||xj0811||default||default||千美元||D
B56:商品进出口总额(境内目的地/货源地总额)[S]||xj09||default||default||千美元||D
B57:上海漕河泾浦江高科技园区商品进出口总额(境内目的地/货源地总额)[S]||xj09||default||default||千美元||D
B58:上海经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj09||default||default||千美元||D
B59:上海闵行经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj09||default||default||千美元||D
B60:商品进出口总额(境内目的地/货源地总额)[S]||xj0913||default||default||千美元||D
B61:商品进出口总额(境内目的地/货源地总额)[S]||xj10||default||default||千美元||D
B62:商品进出口总额(境内目的地/货源地总额)[S]||xj1001||default||default||千美元||D
B63:南京高新技术外向型开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1001||default||default||千美元||D
B64:商品进出口总额(境内目的地/货源地总额)[S]||xj1002||default||default||千美元||D
B65:无锡高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1002||default||default||千美元||D
B66:商品进出口总额(境内目的地/货源地总额)[S]||xj1004||default||default||千美元||D
B67:常州高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1004||default||default||千美元||D
B68:商品进出口总额(境内目的地/货源地总额)[S]||xj1005||default||default||千美元||D
B69:苏州工业园商品进出口总额(境内目的地/货源地总额)[S]||xj1005||default||default||千美元||D
B70:苏州高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1005||default||default||千美元||D
B71:商品进出口总额(境内目的地/货源地总额)[S]||xj1006||default||default||千美元||D
B72:南通经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1006||default||default||千美元||D
B73:商品进出口总额(境内目的地/货源地总额)[S]||xj1007||default||default||千美元||D
B74:连云港经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1007||default||default||千美元||D
B75:商品进出口总额(境内目的地/货源地总额)[S]||xj11||default||default||千美元||D
B76:商品进出口总额(境内目的地/货源地总额)[S]||xj1101||default||default||千美元||D
B77:杭州经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1101||default||default||千美元||D
B78:杭州高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1101||default||default||千美元||D
B79:商品进出口总额(境内目的地/货源地总额)[S]||xj1102||default||default||千美元||D
B80:宁波经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1102||default||default||千美元||D
B81:宁波高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1102||default||default||千美元||D
B82:商品进出口总额(境内目的地/货源地总额)[S]||xj1103||default||default||千美元||D
B83:温州经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1103||default||default||千美元||D
B84:商品进出口总额(境内目的地/货源地总额)[S]||xj1107||default||default||千美元||D
B85:金华经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1107||default||default||千美元||D
B86:商品进出口总额(境内目的地/货源地总额)[S]||xj12||default||default||千美元||D
B87:商品进出口总额(境内目的地/货源地总额)[S]||xj1201||default||default||千美元||D
B88:合肥经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1201||default||default||千美元||D
B89:合肥高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1201||default||default||千美元||D
B90:商品进出口总额(境内目的地/货源地总额)[S]||xj1202||default||default||千美元||D
B91:芜湖经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1202||default||default||千美元||D
B92:芜湖高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1202||default||default||千美元||D
B93:商品进出口总额(境内目的地/货源地总额)[S]||xj1203||default||default||千美元||D
B94:蚌埠高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1203||default||default||千美元||D
B95:商品进出口总额(境内目的地/货源地总额)[S]||xj1204||default||default||千美元||D
B96:商品进出口总额(境内目的地/货源地总额)[S]||xj1205||default||default||千美元||D
B97:马鞍山经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1205||default||default||千美元||D
B98:马鞍山慈湖高新技术产业开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1205||default||default||千美元||D
B99:商品进出口总额(境内目的地/货源地总额)[S]||xj1207||default||default||千美元||D
B100:铜陵经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1207||default||default||千美元||D
B101:商品进出口总额(境内目的地/货源地总额)[S]||xj1208||default||default||千美元||D
B102:安庆经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1208||default||default||千美元||D
B103:商品进出口总额(境内目的地/货源地总额)[S]||xj1210||default||default||千美元||D
B104:滁州经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1210||default||default||千美元||D
B105:商品进出口总额(境内目的地/货源地总额)[S]||xj1214||default||default||千美元||D
B106:六安经济技术开发区商品进出口总额(境内目的地/货源地总额)[S]||xj1214||default||default||千美元||D
