行列号:指标名称||地区代码||年份||月份||单位||单月or累计
B5:商品进出口总额[S]||xj35||default||1月||百万美元||D
B6:商品进出口总额[S]||xj35||default||2月||百万美元||D
B7:商品进出口总额[S]||xj35||default||3月||百万美元||D
B8:商品进出口总额[S]||xj35||default||4月||百万美元||D
B9:商品进出口总额[S]||xj35||default||5月||百万美元||D
B10:商品进出口总额[S]||xj35||default||6月||百万美元||D
B11:商品进出口总额[S]||xj35||default||7月||百万美元||D
B12:商品进出口总额[S]||xj35||default||8月||百万美元||D
B13:商品进出口总额[S]||xj35||default||9月||百万美元||D
B14:商品进出口总额[S]||xj35||default||10月||百万美元||D
B15:商品进出口总额[S]||xj35||default||11月||百万美元||D
B16:商品进出口总额[S]||xj35||default||12月||百万美元||D
C5:商品进出口总额同比增长[S]||xj35||default||1月||%||D
C6:商品进出口总额同比增长[S]||xj35||default||2月||%||D
C7:商品进出口总额同比增长[S]||xj35||default||3月||%||D
C8:商品进出口总额同比增长[S]||xj35||default||4月||%||D
C9:商品进出口总额同比增长[S]||xj35||default||5月||%||D
C10:商品进出口总额同比增长[S]||xj35||default||6月||%||D
C11:商品进出口总额同比增长[S]||xj35||default||7月||%||D
C12:商品进出口总额同比增长[S]||xj35||default||8月||%||D
C13:商品进出口总额同比增长[S]||xj35||default||9月||%||D
C14:商品进出口总额同比增长[S]||xj35||default||10月||%||D
C15:商品进出口总额同比增长[S]||xj35||default||11月||%||D
C16:商品进出口总额同比增长[S]||xj35||default||12月||%||D
D5:商品进出口总额[S]||xj35||default||1月||百万美元||L
D6:商品进出口总额[S]||xj35||default||2月||百万美元||L
D7:商品进出口总额[S]||xj35||default||3月||百万美元||L
D8:商品进出口总额[S]||xj35||default||4月||百万美元||L
D9:商品进出口总额[S]||xj35||default||5月||百万美元||L
D10:商品进出口总额[S]||xj35||default||6月||百万美元||L
D11:商品进出口总额[S]||xj35||default||7月||百万美元||L
D12:商品进出口总额[S]||xj35||default||8月||百万美元||L
D13:商品进出口总额[S]||xj35||default||9月||百万美元||L
D14:商品进出口总额[S]||xj35||default||10月||百万美元||L
D15:商品进出口总额[S]||xj35||default||11月||百万美元||L
D16:商品进出口总额[S]||xj35||default||12月||百万美元||L
E5:商品进出口总额同比增长[S]||xj35||default||1月||%||L
E6:商品进出口总额同比增长[S]||xj35||default||2月||%||L
E7:商品进出口总额同比增长[S]||xj35||default||3月||%||L
E8:商品进出口总额同比增长[S]||xj35||default||4月||%||L
E9:商品进出口总额同比增长[S]||xj35||default||5月||%||L
E10:商品进出口总额同比增长[S]||xj35||default||6月||%||L
E11:商品进出口总额同比增长[S]||xj35||default||7月||%||L
E12:商品进出口总额同比增长[S]||xj35||default||8月||%||L
E13:商品进出口总额同比增长[S]||xj35||default||9月||%||L
E14:商品进出口总额同比增长[S]||xj35||default||10月||%||L
E15:商品进出口总额同比增长[S]||xj35||default||11月||%||L
E16:商品进出口总额同比增长[S]||xj35||default||12月||%||L
