行列号:指标名称||地区代码||年份||月份||单位||单月or累计
C5:冻鱼进口量[S]||xj35||default||default||万吨||D
C6:鲜、干水果及坚果进口量[S]||xj35||default||default||万吨||D
C7:香蕉(包括芭蕉)进口量[S]||xj35||default||default||吨||D
C8:鲜龙眼进口量[S]||xj35||default||default||吨||D
C9:乳品进口量[S]||xj35||default||default||万吨||D
C10:奶粉进口量[S]||xj35||default||default||万吨||D
C11:粮食进口量[S]||xj35||default||default||万吨||D
C12:谷物及谷物粉进口量[S]||xj35||default||default||万吨||D
C13:玉米进口量[S]||xj35||default||default||万吨||D
C14:小麦进口量[S]||xj35||default||default||万吨||D
C15:小麦粉进口量[S]||xj35||default||default||吨||D
C16:大麦进口量[S]||xj35||default||default||万吨||D
C17:稻谷和大米进口量[S]||xj35||default||default||万吨||D
C18:食用植物油进口量[S]||xj35||default||default||万吨||D
C19:豆油进口量[S]||xj35||default||default||万吨||D
C20:花生油进口量[S]||xj35||default||default||吨||D
C21:橄榄油进口量[S]||xj35||default||default||吨||D
C22:棕榈油进口量[S]||xj35||default||default||万吨||D
C23:菜籽油和芥子油进口量[S]||xj35||default||default||万吨||D
C24:食糖进口量[S]||xj35||default||default||万吨||D
C25:酒类进口量[S]||xj35||default||default||千升||D
C26:啤酒进口量[S]||xj35||default||default||千升||D
C27:葡萄酒进口量[S]||xj35||default||default||千升||D
C28:饲料用鱼粉进口量[S]||xj35||default||default||万吨||D
C29:豆饼、豆粕进口量[S]||xj35||default||default||吨||D
C30:纸烟进口量[S]||xj35||default||default||万条||D
C31:天然及合成橡胶(包括胶乳)进口量[S]||xj35||default||default||万吨||D
C32:天然橡胶进口量[S]||xj35||default||default||万吨||D
C33:合成橡胶进口量[S]||xj35||default||default||万吨||D
C34:原木及锯材进口量[S]||xj35||default||default||万立方米||D
C35:原木进口量[S]||xj35||default||default||万立方米||D
C36:锯材进口量[S]||xj35||default||default||万立方米||D
C37:胶合板及类似多层板进口量[S]||xj35||default||default||万立方米||D
C38:木质薄板制胶合板进口量[S]||xj35||default||default||万立方米||D
C39:纸浆进口量[S]||xj35||default||default||万吨||D
C40:羊毛进口量[S]||xj35||default||default||吨||D
C41:毛条进口量[S]||xj35||default||default||吨||D
C42:棉花进口量[S]||xj35||default||default||万吨||D
C43:二醋酸纤维丝束进口量[S]||xj35||default||default||吨||D
C44:纺织用合成纤维进口量[S]||xj35||default||default||万吨||D
C45:聚酯纤维进口量[S]||xj35||default||default||吨||D
C46:聚丙烯腈纤维进口量[S]||xj35||default||default||吨||D
C47:人造纤维短纤进口量[S]||xj35||default||default||吨||D
C48:铁矿砂及其精矿进口量[S]||xj35||default||default||万吨||D
C49:锰矿砂及其精矿进口量[S]||xj35||default||default||万吨||D
C50:铜矿砂及其精矿进口量[S]||xj35||default||default||万吨||D
C51:铬矿砂及其精矿进口量[S]||xj35||default||default||万吨||D
C52:铅矿砂及其精矿进口量[S]||xj35||default||default||万吨||D
C53:氧化铝进口量[S]||xj35||default||default||万吨||D
C54:煤及褐煤进口量[S]||xj35||default||default||万吨||D
C55:无烟煤进口量[S]||xj35||default||default||万吨||D
C56:炼焦煤进口量[S]||xj35||default||default||万吨||D
C57:其它烟煤进口量[S]||xj35||default||default||万吨||D
C58:褐煤进口量[S]||xj35||default||default||万吨||D
C59:汽油进口量[S]||xj35||default||default||吨||D
