行列号:指标名称||地区代码||年份||月份||单位||单月or累计
B6:商品出口总额[S]||xj35||default||default||千美元||L
B7:一般贸易出口总额[S]||xj35||default||default||千美元||L
B8:国家间、国际组织无偿援助和赠送的物资出口总额[S]||xj35||default||default||千美元||L
B9:补偿贸易出口总额[S]||xj35||default||default||千美元||L
B10:来料加工装配贸易出口总额[S]||xj35||default||default||千美元||L
B11:进料加工贸易出口总额[S]||xj35||default||default||千美元||L
B12:寄售代销贸易出口总额[S]||xj35||default||default||千美元||L
B13:边境小额贸易出口总额[S]||xj35||default||default||千美元||L
B14:对外承包工程出口货物出口总额[S]||xj35||default||default||千美元||L
B15:租赁贸易出口总额[S]||xj35||default||default||千美元||L
B16:出料加工贸易出口总额[S]||xj35||default||default||千美元||L
B17:易贷贸易出口总额[S]||xj35||default||default||千美元||L
B18:保税监管场所进出境货物出口总额[S]||xj35||default||default||千美元||L
B19:海关特殊监管区域物流货物出口总额[S]||xj35||default||default||千美元||L
C6:商品出口总额同比增长[S]||xj35||default||default||%||L
C7:一般贸易出口总额同比增长[S]||xj35||default||default||%||L
C8:国家间、国际组织无偿援助和赠送的物资出口总额同比增长[S]||xj35||default||default||%||L
C9:补偿贸易出口总额同比增长[S]||xj35||default||default||%||L
C10:来料加工装配贸易出口总额同比增长[S]||xj35||default||default||%||L
C11:进料加工贸易出口总额同比增长[S]||xj35||default||default||%||L
C12:寄售代销贸易出口总额同比增长[S]||xj35||default||default||%||L
C13:边境小额贸易出口总额同比增长[S]||xj35||default||default||%||L
C14:对外承包工程出口货物出口总额同比增长[S]||xj35||default||default||%||L
C15:租赁贸易出口总额同比增长[S]||xj35||default||default||%||L
C16:出料加工贸易出口总额同比增长[S]||xj35||default||default||%||L
C17:易贷贸易出口总额同比增长[S]||xj35||default||default||%||L
C18:保税监管场所进出境货物出口总额同比增长[S]||xj35||default||default||%||L
C19:海关特殊监管区域物流货物出口总额同比增长[S]||xj35||default||default||%||L
D6:国有企业商品出口总额[S]||xj35||default||default||千美元||L
D7:国有企业一般贸易出口总额[S]||xj35||default||default||千美元||L
D8:国有企业国家间、国际组织无偿援助和赠送的物资出口总额[S]||xj35||default||default||千美元||L
D9:国有企业补偿贸易出口总额[S]||xj35||default||default||千美元||L
D10:国有企业来料加工装配贸易出口总额[S]||xj35||default||default||千美元||L
D11:国有企业进料加工贸易出口总额[S]||xj35||default||default||千美元||L
D12:国有企业寄售代销贸易出口总额[S]||xj35||default||default||千美元||L
D13:国有企业边境小额贸易出口总额[S]||xj35||default||default||千美元||L
D14:国有企业对外承包工程出口货物出口总额[S]||xj35||default||default||千美元||L
D15:国有企业租赁贸易出口总额[S]||xj35||default||default||千美元||L
D16:国有企业出料加工贸易出口总额[S]||xj35||default||default||千美元||L
D17:国有企业易贷贸易出口总额[S]||xj35||default||default||千美元||L
D18:国有企业保税监管场所进出境货物出口总额[S]||xj35||default||default||千美元||L
