行列号:指标名称||地区代码||年份||月份||单位||单月or累计
B5:经济特区商品出口总额[S]||xj35||default||default||千美元||D
B6:厦门经济特区商品出口总额[S]||xj35||default||default||千美元||D
B7:深圳经济特区商品出口总额[S]||xj35||default||default||千美元||D
B8:珠海经济特区商品出口总额[S]||xj35||default||default||千美元||D
B9:汕头经济特区商品出口总额[S]||xj35||default||default||千美元||D
B10:海南经济特区商品出口总额[S]||xj35||default||default||千美元||D
B11:经济技术开发区和特殊开放区商品出口总额[S]||xj35||default||default||千美元||D
B12:高新技术产业开发区商品出口总额[S]||xj35||default||default||千美元||D
B13:综合实验区商品出口总额[S]||xj35||default||default||千美元||D
B14:中国(上海)自由贸易试验区商品出口总额[S]||xj35||default||default||千美元||D
B15:保税区商品出口总额[S]||xj35||default||default||千美元||D
B16:天津港保税区商品出口总额[S]||xj35||default||default||千美元||D
B17:大连大窑湾保税区商品出口总额[S]||xj35||default||default||千美元||D
B18:上海外高桥保税区商品出口总额[S]||xj35||default||default||千美元||D
B19:江苏张家港保税区商品出口总额[S]||xj35||default||default||千美元||D
B20:宁波北仑港保税区商品出口总额[S]||xj35||default||default||千美元||D
B21:福州保税区商品出口总额[S]||xj35||default||default||千美元||D
B22:厦门象屿保税区商品出口总额[S]||xj35||default||default||千美元||D
B23:山东青岛保税区商品出口总额[S]||xj35||default||default||千美元||D
B24:广州保税区商品出口总额[S]||xj35||default||default||千美元||D
B25:深圳福田、沙头角、盐田保税区商品出口总额[S]||xj35||default||default||千美元||D
B26:珠海保税区商品出口总额[S]||xj35||default||default||千美元||D
B27:汕头保税区商品出口总额[S]||xj35||default||default||千美元||D
B28:出口加工区商品出口总额[S]||xj35||default||default||千美元||D
B29:天津出口加工区商品出口总额[S]||xj35||default||default||千美元||D
B30:河北秦皇岛出口加工区商品出口总额[S]||xj35||default||default||千美元||D
B31:河北廊坊出口加工区商品出口总额[S]||xj35||default||default||千美元||D
B32:内蒙古呼和浩特出口加工区商品出口总额[S]||xj35||default||default||千美元||D
B33:辽宁大连出口加工区商品出口总额[S]||xj35||default||default||千美元||D
B34:吉林珲春出口加工区商品出口总额[S]||xj35||default||default||千美元||D
