行列号:指标名称||地区代码||年份||月份||单位||单月or累计
D17:合肥海关商品进口总额[S]||xj35||default||default||千美元||D
D18:呼和浩特海关商品进口总额[S]||xj35||default||default||千美元||D
D19:黄埔海关商品进口总额[S]||xj35||default||default||千美元||D
D20:济南海关商品进口总额[S]||xj35||default||default||千美元||D
D21:江门海关商品进口总额[S]||xj35||default||default||千美元||D
D22:昆明海关商品进口总额[S]||xj35||default||default||千美元||D
D23:拉萨海关商品进口总额[S]||xj35||default||default||千美元||D
D24:兰州海关商品进口总额[S]||xj35||default||default||千美元||D
D25:满洲里海关商品进口总额[S]||xj35||default||default||千美元||D
D26:南昌海关商品进口总额[S]||xj35||default||default||千美元||D
D27:南京海关商品进口总额[S]||xj35||default||default||千美元||D
D28:南宁海关商品进口总额[S]||xj35||default||default||千美元||D
D29:宁波海关商品进口总额[S]||xj35||default||default||千美元||D
D30:青岛海关商品进口总额[S]||xj35||default||default||千美元||D
D31:汕头海关商品进口总额[S]||xj35||default||default||千美元||D
D32:上海海关商品进口总额[S]||xj35||default||default||千美元||D
D33:深圳海关商品进口总额[S]||xj35||default||default||千美元||D
D34:沈阳海关商品进口总额[S]||xj35||default||default||千美元||D
D35:石家庄海关商品进口总额[S]||xj35||default||default||千美元||D
D36:太原海关商品进口总额[S]||xj35||default||default||千美元||D
D37:天津海关商品进口总额[S]||xj35||default||default||千美元||D
D38:乌鲁木齐海关商品进口总额[S]||xj35||default||default||千美元||D
D39:武汉海关商品进口总额[S]||xj35||default||default||千美元||D
D40:西安海关商品进口总额[S]||xj35||default||default||千美元||D
D41:西宁海关商品进口总额[S]||xj35||default||default||千美元||D
D42:厦门海关商品进口总额[S]||xj35||default||default||千美元||D
D43:银川海关商品进口总额[S]||xj35||default||default||千美元||D
D44:湛江海关商品进口总额[S]||xj35||default||default||千美元||D
D45:郑州海关商品进口总额[S]||xj35||default||default||千美元||D
D46:重庆海关商品进口总额[S]||xj35||default||default||千美元||D
E5:北京海关商品进口总额同比增长[S]||xj35||default||default||%||D
E6:长春海关商品进口总额同比增长[S]||xj35||default||default||%||D
E7:长沙海关商品进口总额同比增长[S]||xj35||default||default||%||D
E8:成都海关商品进口总额同比增长[S]||xj35||default||default||%||D
E9:大连海关商品进口总额同比增长[S]||xj35||default||default||%||D
E10:福州海关商品进口总额同比增长[S]||xj35||default||default||%||D
E11:拱北海关商品进口总额同比增长[S]||xj35||default||default||%||D
E12:广州海关商品进口总额同比增长[S]||xj35||default||default||%||D
E13:贵阳海关商品进口总额同比增长[S]||xj35||default||default||%||D
E14:哈尔滨海关商品进口总额同比增长[S]||xj35||default||default||%||D
E15:海口海关商品进口总额同比增长[S]||xj35||default||default||%||D
E16:杭州海关商品进口总额同比增长[S]||xj35||default||default||%||D
E17:合肥海关商品进口总额同比增长[S]||xj35||default||default||%||D
E18:呼和浩特海关商品进口总额同比增长[S]||xj35||default||default||%||D
E19:黄埔海关商品进口总额同比增长[S]||xj35||default||default||%||D
E20:济南海关商品进口总额同比增长[S]||xj35||default||default||%||D
E21:江门海关商品进口总额同比增长[S]||xj35||default||default||%||D
E22:昆明海关商品进口总额同比增长[S]||xj35||default||default||%||D
E23:拉萨海关商品进口总额同比增长[S]||xj35||default||default||%||D
E24:兰州海关商品进口总额同比增长[S]||xj35||default||default||%||D
