行列号:指标名称||地区代码||年份||月份||单位||单月or累计
C6:鲜、干水果及坚果进口量[S]||xj35||default||default||万吨||D
C7:谷物及谷物粉进口量[S]||xj35||default||default||万吨||D
C8:大豆进口量[S]||xj35||default||default||万吨||D
C9:煤及褐煤进口量[S]||xj35||default||default||万吨||D
C10:原油进口量[S]||xj35||default||default||万吨||D
C11:成品油进口量[S]||xj35||default||default||万吨||D
C12:液化石油气及其它烃类气进口量[S]||xj35||default||default||万吨||D
C13:医药品进口量[S]||xj35||default||default||吨||D
C14:矿物肥料及化肥进口量[S]||xj35||default||default||万吨||D
C15:纺织纱线、织物及制品进口量[S]||xj35||default||default||——||D
C16:钢材进口量[S]||xj35||default||default||万吨||D
C17:未锻轧铜及铜材进口量[S]||xj35||default||default||万吨||D
C18:金属加工机床进口量[S]||xj35||default||default||万台||D
C19:自动数据处理设备及部件进口量[S]||xj35||default||default||万台||D
C20:二极管及类似半导体器件进口量[S]||xj35||default||default||百万个||D
C21:汽车及汽车底盘进口量[S]||xj35||default||default||万辆||D
C22:汽车零配件进口量[S]||xj35||default||default||——||D
C23:液晶显示板进口量[S]||xj35||default||default||万个||D
C24:农产品进口量[S]||xj35||default||default||——||D
C25:机电产品进口量[S]||xj35||default||default||——||D
C26:高新技术产品进口量[S]||xj35||default||default||——||D
D6:鲜、干水果及坚果进口额[S]||xj35||default||default||千美元||D
D7:谷物及谷物粉进口额[S]||xj35||default||default||千美元||D
D8:大豆进口额[S]||xj35||default||default||千美元||D
D9:煤及褐煤进口额[S]||xj35||default||default||千美元||D
D10:原油进口额[S]||xj35||default||default||千美元||D
D11:成品油进口额[S]||xj35||default||default||千美元||D
D12:液化石油气及其它烃类气进口额[S]||xj35||default||default||千美元||D
D13:医药品进口额[S]||xj35||default||default||千美元||D
D14:矿物肥料及化肥进口额[S]||xj35||default||default||千美元||D
D15:纺织纱线、织物及制品进口额[S]||xj35||default||default||千美元||D
D16:钢材进口额[S]||xj35||default||default||千美元||D
