行列号:指标名称||地区代码||年份||月份||单位||单月or累计
B5:外商投资企业商品出口总额[S]||xj35||default||default||千美元||L
B6:中外合作企业商品出口总额[S]||xj35||default||default||千美元||L
B7:中外合资企业商品出口总额[S]||xj35||default||default||千美元||L
B8:外商独资企业商品出口总额[S]||xj35||default||default||千美元||L
B9:外商投资企业商品出口总额[S]||xj01||default||default||千美元||L
B10:中外合作企业商品出口总额[S]||xj01||default||default||千美元||L
B11:中外合资企业商品出口总额[S]||xj01||default||default||千美元||L
B12:外商独资企业商品出口总额[S]||xj01||default||default||千美元||L
B13:外商投资企业商品出口总额[S]||xj02||default||default||千美元||L
B14:中外合作企业商品出口总额[S]||xj02||default||default||千美元||L
B15:中外合资企业商品出口总额[S]||xj02||default||default||千美元||L
B16:外商独资企业商品出口总额[S]||xj02||default||default||千美元||L
B17:外商投资企业商品出口总额[S]||xj03||default||default||千美元||L
B18:中外合作企业商品出口总额[S]||xj03||default||default||千美元||L
B19:中外合资企业商品出口总额[S]||xj03||default||default||千美元||L
B20:外商独资企业商品出口总额[S]||xj03||default||default||千美元||L
B21:外商投资企业商品出口总额[S]||xj04||default||default||千美元||L
B22:中外合作企业商品出口总额[S]||xj04||default||default||千美元||L
B23:中外合资企业商品出口总额[S]||xj04||default||default||千美元||L
B24:外商独资企业商品出口总额[S]||xj04||default||default||千美元||L
B25:外商投资企业商品出口总额[S]||xj05||default||default||千美元||L
B26:中外合作企业商品出口总额[S]||xj05||default||default||千美元||L
B27:中外合资企业商品出口总额[S]||xj05||default||default||千美元||L
B28:外商独资企业商品出口总额[S]||xj05||default||default||千美元||L
B29:外商投资企业商品出口总额[S]||xj06||default||default||千美元||L
B30:中外合作企业商品出口总额[S]||xj06||default||default||千美元||L
B31:中外合资企业商品出口总额[S]||xj06||default||default||千美元||L
B32:外商独资企业商品出口总额[S]||xj06||default||default||千美元||L
B33:外商投资企业商品出口总额[S]||xj07||default||default||千美元||L
B34:中外合作企业商品出口总额[S]||xj07||default||default||千美元||L
B35:中外合资企业商品出口总额[S]||xj07||default||default||千美元||L
B36:外商独资企业商品出口总额[S]||xj07||default||default||千美元||L
B37:外商投资企业商品出口总额[S]||xj08||default||default||千美元||L
B38:中外合作企业商品出口总额[S]||xj08||default||default||千美元||L
B39:中外合资企业商品出口总额[S]||xj08||default||default||千美元||L
B40:外商独资企业商品出口总额[S]||xj08||default||default||千美元||L
B41:外商投资企业商品出口总额[S]||xj09||default||default||千美元||L
B42:中外合作企业商品出口总额[S]||xj09||default||default||千美元||L
B43:中外合资企业商品出口总额[S]||xj09||default||default||千美元||L
B44:外商独资企业商品出口总额[S]||xj09||default||default||千美元||L
B45:外商投资企业商品出口总额[S]||xj10||default||default||千美元||L
B46:中外合作企业商品出口总额[S]||xj10||default||default||千美元||L
B47:中外合资企业商品出口总额[S]||xj10||default||default||千美元||L
B48:外商独资企业商品出口总额[S]||xj10||default||default||千美元||L
B49:外商投资企业商品出口总额[S]||xj11||default||default||千美元||L
B50:中外合作企业商品出口总额[S]||xj11||default||default||千美元||L
B51:中外合资企业商品出口总额[S]||xj11||default||default||千美元||L
B52:外商独资企业商品出口总额[S]||xj11||default||default||千美元||L
B53:外商投资企业商品出口总额[S]||xj12||default||default||千美元||L
B54:中外合作企业商品出口总额[S]||xj12||default||default||千美元||L
B55:中外合资企业商品出口总额[S]||xj12||default||default||千美元||L
B56:外商独资企业商品出口总额[S]||xj12||default||default||千美元||L
B57:外商投资企业商品出口总额[S]||xj13||default||default||千美元||L
B58:中外合作企业商品出口总额[S]||xj13||default||default||千美元||L
B59:中外合资企业商品出口总额[S]||xj13||default||default||千美元||L
B60:外商独资企业商品出口总额[S]||xj13||default||default||千美元||L
B61:厦门经济特区外商投资企业商品出口总额[S]||xj1302||default||default||千美元||L
B62:厦门经济特区中外合作企业商品出口总额[S]||xj1302||default||default||千美元||L
B63:厦门经济特区中外合资企业商品出口总额[S]||xj1302||default||default||千美元||L
B64:厦门经济特区外商独资企业商品出口总额[S]||xj1302||default||default||千美元||L
B65:外商投资企业商品出口总额[S]||xj14||default||default||千美元||L
B66:中外合作企业商品出口总额[S]||xj14||default||default||千美元||L
B67:中外合资企业商品出口总额[S]||xj14||default||default||千美元||L
B68:外商独资企业商品出口总额[S]||xj14||default||default||千美元||L
B69:外商投资企业商品出口总额[S]||xj15||default||default||千美元||L
B70:中外合作企业商品出口总额[S]||xj15||default||default||千美元||L
B71:中外合资企业商品出口总额[S]||xj15||default||default||千美元||L
B72:外商独资企业商品出口总额[S]||xj15||default||default||千美元||L
B73:外商投资企业商品出口总额[S]||xj16||default||default||千美元||L
B74:中外合作企业商品出口总额[S]||xj16||default||default||千美元||L
B75:中外合资企业商品出口总额[S]||xj16||default||default||千美元||L
B76:外商独资企业商品出口总额[S]||xj16||default||default||千美元||L
B77:外商投资企业商品出口总额[S]||xj17||default||default||千美元||L
B78:中外合作企业商品出口总额[S]||xj17||default||default||千美元||L
B79:中外合资企业商品出口总额[S]||xj17||default||default||千美元||L
B80:外商独资企业商品出口总额[S]||xj17||default||default||千美元||L
B81:外商投资企业商品出口总额[S]||xj18||default||default||千美元||L
B82:中外合作企业商品出口总额[S]||xj18||default||default||千美元||L
B83:中外合资企业商品出口总额[S]||xj18||default||default||千美元||L
B84:外商独资企业商品出口总额[S]||xj18||default||default||千美元||L
